Race,Lap,Position,Overtaker,Overtaken,Live,Turn
Bahrain,2,16,Stroll,Norris,,1
Bahrain,2,18,Zhou,Latifi,Yes,4
Bahrain,3,5,Perez,Magnussen,Yes,4
Bahrain,3,17,Zhou,Norris,,1
Bahrain,4,16,Zhou,Stroll,,5
Bahrain,5,6,Russell,Magnussen,Yes,1
Bahrain,5,11,Tsunoda,Albon,,1
Bahrain,5,15,Zhou,Hulkenberg,,14
Bahrain,6,13,Bottas,Schumacher,Yes,1
Bahrain,6,19,Ricciardo,Latifi,,13
Bahrain,7,14,Zhou,Schumacher,Yes,1
Bahrain,7,19,Latifi,Ricciardo,,4
Bahrain,8,9,Ocon,Alonso,,1
Bahrain,8,12,Bottas,Albon,Yes,11
Bahrain,9,16,Stroll,Hulkenberg,,1
Bahrain,10,4,Perez,Hamilton,Yes,4
Bahrain,10,13,Zhou,Albon,Replay,4
Bahrain,10,15,Stroll,Schumacher,,4
Bahrain,12,11,Zhou,Hamilton,Yes,3
Bahrain,12,18,Ricciardo,Latifi,,8
Bahrain,13,11,Hamilton,Zhou,Yes,1
Bahrain,13,17,Alonso,Ricciardo,,4
Bahrain,13,18,Alonso,Latifi,,11
Bahrain,14,14,Alonso,Hulkenberg,,4
Bahrain,14,15,Alonso,Norris,,1
Bahrain,14,19,Schumacher,Albon,Yes,8
Bahrain,15,9,Magnussen,Stroll,Yes,4
Bahrain,15,11,Alonso,Gasly,Yes,8
Bahrain,16,8,Gasly,Alonso,,1
Bahrain,16,9,Gasly,Stroll,,1
Bahrain,16,9,Alonso,Stroll,,4
Bahrain,16,11,Ocon,Hulkenberg,,1
Bahrain,16,12,Ocon,Norris,,4
Bahrain,16,13,Ocon,Ricciardo,,11
Bahrain,16,14,Tsunoda,Ricciardo,,1
Bahrain,16,17,Schumacher,Zhou,,4
Bahrain,17,1,Verstappen,Leclerc,Yes,14
Bahrain,17,1,Leclerc,Verstappen,Yes,14
Bahrain,17,13,Tsunoda,Hulkenberg,,1
Bahrain,17,12,Tsunoda,Norris,,1
Bahrain,17,13,Bottas,Norris,,4
Bahrain,17,12,Norris,Hulkenberg,,8
Bahrain,17,14,Bottas,Hulkenberg,,9
Bahrain,17,15,Bottas,Ricciardo,,9
Bahrain,17,17,Zhou,Schumacher,,1
Bahrain,18,1,Verstappen,Leclerc,Yes,11
Bahrain,18,1,Leclerc,Verstappen,Yes,4
Bahrain,18,15,Zhou,Hulkenberg,,4
Bahrain,18,16,Schumacher,Hulkenberg,,1
Bahrain,19,1,Verstappen,Leclerc,Yes,2
Bahrain,19,1,Leclerc,Verstappen,Yes,14
Bahrain,19,13,Zhou,Norris,Replay,1
Bahrain,19,14,Schumacher,Norris,Replay,11
Bahrain,21,17,Stroll,Latifi,,4
Bahrain,22,15,Albon,Norris,Replay,1
Bahrain,24,16,Stroll,Norris,,4
Bahrain,26,14,Alonso,Albon,Yes,11
Bahrain,27,15,Stroll,Albon,,10
Bahrain,28,17,Ricciardo,Latifi,Yes,8
Bahrain,30,12,Alonso,Schumacher,Yes,4
Bahrain,30,14,Tsunoda,Stroll,,11
Bahrain,31,7,Hamilton,Gasly,Replay,1
Bahrain,32,12,Ocon,Schumacher,,1
Bahrain,33,6,Hamilton,Magnussen,Yes,14
Bahrain,33,13,Tsunoda,Schumacher,,11
Bahrain,34,17,Norris,Hulkenberg,Yes,4
Bahrain,35,9,Gasly,Magnussen,Yes,4
Bahrain,36,9,Magnussen,Gasly,Yes,4
Bahrain,37,7,Magnussen,Zhou,Yes,1
Bahrain,38,9,Ocon,Alonso,Yes,1
Bahrain,40,10,Tsunoda,Alonso,Yes,1
Bahrain,42,11,Bottas,Alonso,,1
Bahrain,42,19,Norris,Hulkenberg,,11
Bahrain,43,18,Norris,Latifi,,9
Bahrain,51,10,Tsunoda,Schumacher,,4
Bahrain,51,11,Alonso,Schumacher,Yes,11
Bahrain,52,12,Zhou,Schumacher,Replay,11
Bahrain,54,2,Sainz,Verstappen,Yes,11
Saudi Arabia,2,10,Norris,Gasly,Yes,1
Saudi Arabia,2,17,Zhou,Latifi,,1
Saudi Arabia,3,5,Russell,Ocon,Yes,27
Saudi Arabia,3,16,Zhou,Hulkenberg,,27
Saudi Arabia,4,10,Gasly,Norris,Yes,27
Saudi Arabia,7,6,Alonso,Ocon,Yes,1
Saudi Arabia,7,16,Hulkenberg,Albon,,1
Saudi Arabia,9,12,Hamilton,Stroll,Replay,27
Saudi Arabia,11,11,Hamilton,Norris,Yes,27
Saudi Arabia,11,13,Zhou,Stroll,,1
Saudi Arabia,12,14,Hulkenberg,Stroll,,27
Saudi Arabia,14,7,Bottas,Ocon,Yes,1
Saudi Arabia,14,10,Hamilton,Gasly,Replay,1
Saudi Arabia,15,15,Ricciardo,Latifi,,1
Saudi Arabia,23,6,Hamilton,Magnussen,Replay,27
Saudi Arabia,24,6,Magnussen,Hamilton,Yes,1
Saudi Arabia,24,9,Bottas,Hulkenberg,Replay,1
Saudi Arabia,25,6,Hamilton,Magnussen,Yes,1
Saudi Arabia,25,10,Ocon,Hulkenberg,Replay,1
Saudi Arabia,25,11,Ricciardo,Hulkenberg,Replay,27
Saudi Arabia,28,12,Norris,Hulkenberg,Yes,1
Saudi Arabia,29,13,Gasly,Hulkenberg,Yes,1
Saudi Arabia,35,7,Alonso,Magnussen,Yes,1
Saudi Arabia,41,10,Magnussen,Albon,,27
Saudi Arabia,42,1,Verstappen,Leclerc,Yes,27
Saudi Arabia,43,1,Leclerc,Verstappen,Yes,1
Saudi Arabia,43,9,Magnussen,Stroll,,1
Saudi Arabia,43,11,Hamilton,Albon,,1
Saudi Arabia,45,10,Hamilton,Stroll,,1
Saudi Arabia,46,1,Verstappen,Leclerc,Yes,Finish Line
Saudi Arabia,48,6,Norris,Ocon,,27
Saudi Arabia,50,6,Ocon,Norris,Replay ,1
Australia,10,3,Perez,Hamilton,Yes,3
Australia,11,14,Magnussen,Zhou,,11
Australia,12,13,Magnussen,Schumacher,Replay,10
Australia,12,14,Zhou,Schumacher,,12
Australia,13,16,Albon,Latifi,,1
Australia,13,17,Stroll,Latifi,,3
Australia,16,11,Bottas,Tsunoda,Yes,1
Australia,19,8,Alonso,Gasly,Yes,3
Australia,19,11,Magnussen,Zhou,,11
Australia,22,10,Stroll,Albon,Yes,3
Australia,23,5,Perez,Hamilton,Yes,9
Australia,28,12,Stroll,Bottas,,11
Australia,30,4,Perez,Alonso,Yes,3
Australia,31,5,Hamilton,Alonso,Yes,1
Australia,31,15,Schumacher,Tsunoda,,11
Australia,34,7,Norris,Magnussen,Yes,1
Australia,34,16,Zhou,Tsunoda,,1
Australia,35,8,Ricciardo,Magnussen,Replay,1
Australia,36,3,Perez,Russell,Yes,11
Australia,39,9,Bottas,Stroll,,1
Australia,40,9,Stroll,Bottas,Replay,3
Australia,40,10,Gasly,Bottas,Replay,3
Australia,40,13,Alonso,Zhou,,3
Australia,42,16,Magnussen,Latifi,,3
Australia,45,12,Alonso,Schumacher,Replay,3
Australia,45,15,Magnussen,Tsunoda,Yes,11
Australia,50,9,Gasly,Stroll,Yes,1
Australia,50,14,Magnussen,Schumacher,,3
Australia,51,10,Bottas,Stroll,Replay,1
Australia,52,12,Zhou,Alonso,Yes,1
Australia,52,13,Magnussen,Alonso,Yes,3
Australia,53,14,Schumacher,Alonso,,1
Australia,56,11,Zhou,Stroll,,1
Australia,56,13,Schumacher,Magnussen,Replay,3
Emilia-Romagna S,5,17,Albon,Latifi,,Tamburello
