"driver_id","constructor_id","round","grid","position","status","pos_gained","round_points","accumulated_points","PI","PI_adj"
"hamilton","mercedes",1,"2","1","Finished",1,24.2612263885053,24.2612263885053,13.2850493277645,32.5938529727384
"max_verstappen","red_bull",1,"1","2","Finished",-1,21.2700612052228,21.2700612052228,11.6471363727036,18.2306399064984
"bottas","mercedes",1,"3","3","Finished",0,18.6476766025428,18.6476766025428,10.2111616101301,32.5323752183857
"norris","mclaren",1,"7","4","Finished",3,16.3486056442394,16.3486056442394,8.95222809209647,11.5757054714562
"perez","red_bull",1,"0","5","Finished",-5,14.3329870099961,14.3329870099961,7.84850841391196,18.1546673473226
"leclerc","ferrari",1,"4","6","Finished",-2,12.5658738793486,12.5658738793486,6.88086627033442,7.52852118263179
"ricciardo","mclaren",1,"6","7","Finished",-1,11.0166280232844,11.0166280232844,6.03252467007638,11.5173114030158
"sainz","ferrari",1,"8","8","Finished",0,9.65838859825537,9.65838859825537,5.28877505612552,7.49667935834761
"tsunoda","alphatauri",1,"13","9","Finished",4,8.46760643254417,8.46760643254417,4.63672228860381,6.12957958106281
"stroll","aston_martin",1,"10","10","Finished",0,7.42363573043798,7.42363573043798,4.06506106867501,0.0813012213735002
"raikkonen","alfa",1,"14","11","Finished",3,6.5083761151706,6.5083761151706,3.56387992713557,0.522630505854168
"giovinazzi","alfa",1,"12","12","+1 Lap",0,5.70595880436931,5.70595880436931,3.12448937924068,0.51384269489627
"ocon","alpine",1,"16","13","+1 Lap",3,5.00247147691252,5.00247147691252,2.73927126631179,0.0547854253262357
"russell","williams",1,"15","14","+1 Lap",1,4.3857170609365,4.3857170609365,2.40154667200851,0.217288273681966
"vettel","aston_martin",1,"20","15","+1 Lap",5,3.84500226085464,3.84500226085464,2.10546012319565,0.0421092024639131
"mick_schumacher","haas",1,"18","16","+1 Lap",2,3.37095215686815,3.37095215686815,1.84587806767861,0.206174901595368
"gasly","alphatauri",1,"5","17","Retired",-12,2.9553476624922,2.9553476624922,1.61829986861276,3.52583326749143
"latifi","williams",1,"17","18","Retired",-1,2.59098302193428,2.59098302193428,1.41877977240696,0.895431128099665
"alonso","alpine",1,"9","19","Brakes",-10,2.27154087661232,2.27154087661232,1.24385849719971,0.721437928375832
"mazepin","haas",1,"19","20","Accident",-1,1.99148273471456,1.99148273471456,1.09050325578798,0.705030748460655
"max_verstappen","red_bull",2,"3","1","Finished",2,24.2612263885053,45.5312875937282,12.4660928502341,12.5813837913593
"hamilton","mercedes",2,"1","2","Finished",-1,21.2700612052228,45.5312875937282,12.4660928502341,12.8686480526841
"norris","mclaren",2,"7","3","Finished",4,18.6476766025428,34.9962822467822,9.5816948511133,9.62157506352016
"leclerc","ferrari",2,"4","4","Finished",0,16.3486056442394,28.9144795235879,7.91654718121544,7.90878666124377
"sainz","ferrari",2,"11","5","Finished",6,14.3329870099961,23.9913756082515,6.56864173501874,6.58720248748532
"ricciardo","mclaren",2,"6","6","Finished",0,12.5658738793486,23.582501902633,6.4566954702054,6.55790778886161
"gasly","alphatauri",2,"5","7","Finished",-2,11.0166280232844,13.9719756857766,3.82541226934457,3.8194206893075
"stroll","aston_martin",2,"10","8","Finished",2,9.65838859825537,17.0820243286934,4.67691806240026,4.58500572557973
"ocon","alpine",2,"9","9","Finished",0,8.46760643254417,13.4700779094567,3.6879967774578,3.61533255041517
"alonso","alpine",2,"15","10","Finished",5,7.42363573043798,9.6951766070503,2.65445978293736,2.61579934584613
"perez","red_bull",2,"2","11","Finished",-9,6.5083761151706,20.8413631251667,5.70619417052377,5.95516363405974
"tsunoda","alphatauri",2,"20","12","Finished",8,5.70595880436931,14.1735652369135,3.88060583392224,3.92558530886505
"raikkonen","alfa",2,"16","13","Finished",3,5.00247147691252,11.5108475920831,3.15157559672368,3.09899669490629
