"driver_id","constructor_id","round","grid","position","status","as.numeric(Results_DF[, 4]) - as.numeric(Results_DF[, 3])","round_points","accumulated_points","PI","PI_adj"
"leclerc","ferrari",1,"1","1","Finished",0,24.2612263885053,24.2612263885053,13.2850493277645,14.6271958902925
"sainz","ferrari",1,"3","2","Finished",1,21.2700612052228,21.2700612052228,11.6471363727036,14.5944376311913
"hamilton","mercedes",1,"5","3","Finished",2,18.6476766025428,18.6476766025428,10.2111616101301,27.4400103216703
"russell","mercedes",1,"9","4","Finished",5,16.3486056442394,16.3486056442394,8.95222809209647,27.4148316513097
"kevin_magnussen","haas",1,"7","5","Finished",2,14.3329870099961,14.3329870099961,7.84850841391196,0.156970168278239
"bottas","alfa",1,"6","6","Finished",0,12.5658738793486,12.5658738793486,6.88086627033442,0.714740768215295
"ocon","alpine",1,"11","7","Finished",4,11.0166280232844,11.0166280232844,6.03252467007638,7.00173769611953
"tsunoda","alphatauri",1,"16","8","Finished",8,9.65838859825537,9.65838859825537,5.28877505612552,6.40973926103191
"alonso","alpine",1,"8","9","Finished",-1,8.46760643254417,8.46760643254417,4.63672228860381,6.97382164849008
"zhou","alfa",1,"15","10","Finished",5,7.42363573043798,7.42363573043798,4.06506106867501,0.658424664182107
"mick_schumacher","haas",1,"12","11","Finished",1,6.5083761151706,6.5083761151706,3.56387992713557,0.0712775985427114
"stroll","aston_martin",1,"19","12","Finished",7,5.70595880436931,5.70595880436931,3.12448937924068,3.48083633345118
"albon","williams",1,"14","13","Finished",1,5.00247147691252,5.00247147691252,2.73927126631179,1.07584997798762
"ricciardo","mclaren",1,"18","14","Finished",4,4.3857170609365,4.3857170609365,2.40154667200851,12.2564114543915
"norris","mclaren",1,"13","15","Finished",-2,3.84500226085464,3.84500226085464,2.10546012319565,12.2504897234152
"latifi","williams",1,"20","16","Finished",4,3.37095215686815,3.37095215686815,1.84587806767861,1.05798211401495
"hulkenberg","aston_martin",1,"17","17","Finished",0,2.9553476624922,2.9553476624922,1.61829986861276,3.45071254323862
"perez","red_bull",1,"4","18","Fuel pressure",-14,2.59098302193428,2.59098302193428,1.41877977240696,11.9626431173732
"max_verstappen","red_bull",1,"2","19","Fuel pressure",-17,2.27154087661232,2.27154087661232,1.24385849719971,11.861188777753
"gasly","alphatauri",1,"10","20","Power Unit",-10,1.99148273471456,1.99148273471456,1.09050325578798,3.33419064260391
"max_verstappen","red_bull",2,"4","1","Finished",3,24.2612263885053,26.5327672651177,7.26445391248212,7.35638860978754
"leclerc","ferrari",2,"2","2","Finished",0,21.2700612052228,45.5312875937282,12.4660928502341,12.5093149110352
"sainz","ferrari",2,"3","3","Finished",0,18.6476766025428,39.9177378077656,10.9291489914168,11.0024547642123
"perez","red_bull",2,"1","4","Finished",-3,16.3486056442394,18.9395886661736,5.18550393225171,5.32104671595414
"russell","mercedes",2,"6","5","Finished",1,14.3329870099961,30.6815926542355,8.40036825300422,8.78065752097032
"ocon","alpine",2,"5","6","Finished",-1,12.5658738793486,23.582501902633,6.4566954702054,6.46759631472368
"norris","mclaren",2,"11","7","Finished",4,11.0166280232844,14.8616302841391,4.06899239663602,4.2326223431716
"gasly","alphatauri",2,"9","8","Finished",1,9.65838859825537,11.6498713329699,3.18963915595675,3.19253018568969
"kevin_magnussen","haas",2,"10","9","Finished",1,8.46760643254417,22.8005934425403,6.24261535125788,6.12090244759829
"hamilton","mercedes",2,"15","10","Finished",5,7.42363573043798,26.0713123329808,7.13811133940257,7.54414931904793
"zhou","alfa",2,"12","11","Finished",1,6.5083761151706,13.9320118456086,3.81447049790529,3.75134958123083
"hulkenberg","aston_martin",2,"17","12","Finished",5,5.70595880436931,8.66130646686151,2.37139462392672,2.39298098231296
"stroll","aston_martin",2,"13","13","+1 Lap",0,5.00247147691252,10.7084302812818,2.93188032277623,2.94285944298973
"albon","williams",2,"16","14","Collision damage",2,4.3857170609365,9.38818853784902,2.57040896916015,2.42095307004289
"bottas","alfa",2,"8","15","Cooling system",-7,3.84500226085464,16.4108761402032,4.49316319676504,4.11532095391006
"alonso","alpine",2,"7","16","Water pump",-9,3.37095215686815,11.8385585894123,3.24130017814121,3.6145523251761
"ricciardo","mclaren",2,"14","17","Gearbox",-3,2.9553476624922,7.3410647234287,2.00992327031063,3.03457208871871
"latifi","williams",2,"18","18","Accident",0,2.59098302193428,5.96193517880243,1.63232892004279,1.57489423944
"tsunoda","alphatauri",2,"19","19","Power Unit",0,2.27154087661232,11.9299294748677,3.26631677666261,3.58065902509954
"mick_schumacher","haas",2,"0","20","Withdrew",-20,1.99148273471456,8.49985884988516,2.32719159146177,2.10160019216987
